pc,variance_fraction,cumulative_variance_fraction
1,0.07716398290450588,0.07716398290450588
2,0.05673730107324737,0.13390128397775325
3,0.05207026588473959,0.18597154986249284
4,0.03723191932658246,0.2232034691890753
5,0.03180151340041293,0.2550049825894882
6,0.028517317376591925,0.28352229996608014
7,0.02551646769648522,0.3090387676625654
8,0.024176592463947922,0.3332153601265133
9,0.023246567592151445,0.35646192771866475
10,0.022079331255865513,0.3785412589745303
11,0.020994167963054793,0.3995354269375851
12,0.018715118373558784,0.41825054531114386
13,0.01853585162524304,0.4367863969363869
14,0.01794996687822823,0.45473636381461513
15,0.01718846698425002,0.47192483079886516
16,0.016725176647442243,0.4886500074463074
17,0.016444396941115567,0.5050944043874229
18,0.01636839867402434,0.5214628030614472
19,0.01613408919276122,0.5375968922542085
20,0.01597521352566792,0.5535721057798764
21,0.015912390476479164,0.5694844962563556
22,0.015665178728257238,0.5851496749846128
23,0.015574253433502617,0.6007239284181154
24,0.015458951282944684,0.6161828797010601
25,0.015433952163391655,0.6316168318644517
26,0.015392011177721312,0.647008843042173
27,0.015341832623964428,0.6623506756661374
28,0.015279782901664755,0.6776304585678021
29,0.015208366447279412,0.6928388250150815
30,0.015150588868193081,0.7079894138832746
31,0.015068586807933331,0.723058000691208
32,0.014981261364383151,0.7380392620555911
33,0.014961687774941938,0.753000949830533
34,0.014862598635429958,0.7678635484659629
35,0.014848082825075567,0.7827116312910385
36,0.014822011894901004,0.7975336431859394
37,0.014793708353105875,0.8123273515390453
38,0.014751116469563442,0.8270784680086087
39,0.014676953164673785,0.8417554211732825
40,0.014653459479500435,0.856408880652783
41,0.014605568174459658,0.8710144488272427
42,0.014525707647002872,0.8855401564742456
43,0.014506760178863112,0.9000469166531087
44,0.014412412783838856,0.9144593294369475
45,0.014390351461135376,0.9288496808980828
46,0.01432249589173566,0.9431721767898185
47,0.014275662997496585,0.9574478397873151
48,0.014211555436634849,0.97165939522395
49,0.014185211250248695,0.9858446064741987
50,0.014155393525801328,1
