seurat_cluster,scanpy_cluster,count,seurat_cluster_fraction
1,1,9,0.056962025316455694
2,1,6,0.06666666666666667
3,1,7,0.051470588235294115
4,1,5,0.044642857142857144
5,1,59,0.17352941176470588
6,1,438,0.7711267605633803
7,1,5,0.02336448598130841
8,1,8,0.046511627906976744
1,2,5,0.03164556962025317
2,2,0,0
3,2,7,0.051470588235294115
4,2,2,0.017857142857142856
5,2,241,0.7088235294117647
6,2,57,0.10035211267605634
7,2,0,0
8,2,0,0
1,3,2,0.012658227848101266
2,3,1,0.011111111111111112
3,3,1,0.007352941176470588
4,3,0,0
5,3,2,0.0058823529411764705
6,3,7,0.01232394366197183
7,3,208,0.9719626168224299
8,3,0,0
1,4,116,0.7341772151898734
2,4,2,0.022222222222222223
3,4,5,0.03676470588235294
4,4,1,0.008928571428571428
5,4,16,0.047058823529411764
6,4,28,0.04929577464788732
7,4,1,0.004672897196261682
8,4,6,0.03488372093023256
1,5,1,0.006329113924050633
2,5,0,0
3,5,0,0
4,5,0,0
5,5,1,0.0029411764705882353
6,5,5,0.008802816901408451
7,5,0,0
8,5,157,0.9127906976744186
1,6,22,0.13924050632911392
2,6,1,0.011111111111111112
3,6,2,0.014705882352941176
4,6,102,0.9107142857142857
5,6,9,0.026470588235294117
6,6,12,0.02112676056338028
7,6,0,0
8,6,0,0
1,7,2,0.012658227848101266
2,7,0,0
3,7,114,0.8382352941176471
4,7,0,0
5,7,9,0.026470588235294117
6,7,8,0.014084507042253521
7,7,0,0
8,7,1,0.005813953488372093
1,8,1,0.006329113924050633
2,8,80,0.8888888888888888
3,8,0,0
4,8,2,0.017857142857142856
5,8,3,0.008823529411764706
6,8,13,0.022887323943661973
7,8,0,0
8,8,0,0
